IC_9V,VCE_9V,IC_11V,VCE_11V,IC_13V,VCE_13V,IC_15V,VCE_15V,IC_17V,VCE_17V,IC_19V,VCE_19V,,,,
,,1184.524 ,2.389 ,1185.896,2.154 ,1186.640 ,2.053 ,1186.42,1.991 ,1185.856 ,1.948 ,,,,
,,1195.424 ,2.406 ,1197.128,2.167 ,1197.682 ,2.064 ,1196.836,2.000 ,1196.818 ,1.958 ,,,,
,,1206.398 ,2.425 ,1207.79,2.179 ,1207.982 ,2.074 ,1207.526,2.009 ,1206.984 ,1.967 ,,,,
,,1216.322 ,2.440 ,1218.564,2.191 ,1218.896 ,2.086 ,1218.14,2.021 ,1218.442 ,1.978 ,,,,
,,1226.278 ,2.454 ,1228.64,2.204 ,1229.708 ,2.096 ,1229.392,2.030 ,1229.144 ,1.988 ,,,,
,,1239.236 ,2.478 ,1240.236,2.217 ,1240.786 ,2.109 ,1240.836,2.043 ,1239.860 ,1.996 ,,,,
,,1250.722 ,2.499 ,1250.704,2.230 ,1252.166 ,2.122 ,1251.554,2.052 ,1252.038 ,2.011 ,,,,
,,1262.216 ,2.524 ,1263.334,2.251 ,1264.316 ,2.129 ,1263.57,2.073 ,1262.980 ,2.021 ,,,,
,,1271.844 ,2.538 ,1274.358,2.264 ,1275.522 ,2.152 ,1275.666,2.084 ,1275.394 ,2.039 ,,,,
,,1300.000 ,2.584 ,1300,2.295 ,1300.000 ,2.178 ,1300.000 ,2.108 ,1300.000 ,2.063 ,,,,
,,1350.000 ,2.665 ,1350,2.354 ,1350.000 ,2.232 ,1350.000 ,2.158 ,1350.000 ,2.111 ,,,,
,,1400.000 ,2.746 ,1400,2.414 ,1400.000 ,2.285 ,1400.000 ,2.209 ,1400.000 ,2.159 ,,,,
,,1450.000 ,2.827 ,1450,2.473 ,1450.000 ,2.338 ,1450.000 ,2.259 ,1450.000 ,2.207 ,,,,
,,1500.000 ,2.908 ,1500,2.533 ,1500.000 ,2.392 ,1500.000 ,2.309 ,1500.000 ,2.255 ,,,,
,,1550.000 ,2.989 ,1550,2.592 ,1550.000 ,2.445 ,1550.000 ,2.359 ,1550.000 ,2.303 ,,,,
,,1600.000 ,3.070 ,1600,2.652 ,1600.000 ,2.498 ,1600.000 ,2.410 ,1600.000 ,2.351 ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
